Dates;Value
2006-02-01 00:00:00;4889561.9104196699
2006-02-01 01:00:00;4815803.459200874
2006-02-01 02:00:00;4219005.8655271949
2006-02-01 03:00:00;2973426.6759622595
2006-02-01 04:00:00;2862989.7091448009
2006-02-01 05:00:00;2821773.5858752155
2006-02-01 06:00:00;4533355.1429443117
2006-02-01 07:00:00;4495481.9687901586
2006-02-01 08:00:00;4899300.3192709051
2006-02-01 09:00:00;3799130.0023144428
2006-02-01 10:00:00;4279411.9564033598
2006-02-01 11:00:00;4505090.5717251133
2006-02-01 12:00:00;4616080.6944114063
2006-02-01 13:00:00;4755773.5633545378
2006-02-01 14:00:00;4501610.9905038066
2006-02-01 15:00:00;4188689.3004183737
2006-02-01 16:00:00;3495858.8562775087
2006-02-01 17:00:00;2679662.5364897097
2006-02-01 18:00:00;4323751.931295828
2006-02-01 19:00:00;4276800.1744121071
2006-02-01 20:00:00;3974505.0415333947
2006-02-01 21:00:00;2108048.6113201082
2006-02-01 22:00:00;2235351.7539106561
2006-02-01 23:00:00;2370869.6109408983
2006-02-02 00:00:00;4789043.6248805402
2006-02-02 01:00:00;4771073.5594282178
2006-02-02 02:00:00;4721192.7882747892
2006-02-02 03:00:00;2912247.8576254994
2006-02-02 04:00:00;2825860.5980619797
2006-02-02 05:00:00;2794330.5102468161
2006-02-02 06:00:00;4492608.5137468772
2006-02-02 07:00:00;4457590.7809708603
2006-02-02 08:00:00;4867330.2283674777
2006-02-02 09:00:00;5554929.5337554999
2006-02-02 10:00:00;6069354.9444835419
2006-02-02 11:00:00;5672201.1446179254
2006-02-02 12:00:00;4697822.9460237212
2006-02-02 13:00:00;4687736.5728969276
2006-02-02 14:00:00;4456800.540676306
2006-02-02 15:00:00;5988522.0686290124
2006-02-02 16:00:00;5306254.2071082238
2006-02-02 17:00:00;4514219.4503431218
2006-02-02 18:00:00;2510215.4138412266
2006-02-02 19:00:00;2433817.7981918543
2006-02-02 20:00:00;2131493.7845527143
2006-02-02 21:00:00;3846753.1550709764
2006-02-02 22:00:00;3920560.8205401008
2006-02-02 23:00:00;4030755.525587609
2006-02-03 00:00:00;4794015.5496639395
2006-02-03 01:00:00;4786289.3291245932
2006-02-03 02:00:00;4723219.1194408014
2006-02-03 03:00:00;2917018.8778120186
2006-02-03 04:00:00;2839973.5457654884
2006-02-03 05:00:00;2820062.4606176722
2006-02-03 06:00:00;4474069.3683177065
2006-02-03 07:00:00;4381969.3615633296
2006-02-03 08:00:00;4826559.8698582128
2006-02-03 09:00:00;3826908.8973503653
2006-02-03 10:00:00;4226974.1692131739
2006-02-03 11:00:00;4561800.613414363
2006-02-03 12:00:00;1249507.1737517482
2006-02-03 13:00:00;1427534.9714387388
2006-02-03 14:00:00;1190311.0641268855
2006-02-03 15:00:00;873639.71971856197
2006-02-03 16:00:00;150027.19515946053
2006-02-03 17:00:00;-594420.71650250372
2006-02-03 18:00:00;-780048.18105377269
2006-02-03 19:00:00;-891128.41503941431
2006-02-03 20:00:00;-1052718.3952278669
2006-02-03 21:00:00;-1068712.4615613099
2006-02-03 22:00:00;-1007859.7530932237
2006-02-03 23:00:00;-851420.78312247957
2006-02-04 00:00:00;-206978.8352927402
2006-02-04 01:00:00;-219815.43344847567
2006-02-04 02:00:00;-258158.27403541119
2006-02-04 03:00:00;4658741.3291797722
2006-02-04 04:00:00;4614487.9346208144
2006-02-04 05:00:00;4525964.9825067567
2006-02-04 06:00:00;4435032.7586569358
2006-02-04 07:00:00;4420573.2961368533
2006-02-04 08:00:00;4267746.6846901514
2006-02-04 09:00:00;3706387.8665727172
2006-02-04 10:00:00;4085507.6279627662
2006-02-04 11:00:00;4311414.7203812152
2006-02-04 12:00:00;1381891.9544083239
2006-02-04 13:00:00;1391902.3464156473
2006-02-04 14:00:00;1220755.9361207902
2006-02-04 15:00:00;810537.93302857515
2006-02-04 16:00:00;228652.27793080744
2006-02-04 17:00:00;-645691.75204377878
2006-02-04 18:00:00;-837993.72835274506
2006-02-04 19:00:00;-905153.21414861584
2006-02-04 20:00:00;-974001.61048695573
2006-02-04 21:00:00;-1090818.7724629496
2006-02-04 22:00:00;-1102551.293468945
2006-02-04 23:00:00;-781630.34550723713
2006-02-05 00:00:00;2989033.1541143325
2006-02-05 01:00:00;2982757.7673281711
2006-02-05 02:00:00;2947337.0201530233
2006-02-05 03:00:00;4636885.1139831683
2006-02-05 04:00:00;4564160.8463405529
2006-02-05 05:00:00;4475386.0989622949
2006-02-05 06:00:00;-598929.31080008694
2006-02-05 07:00:00;-666676.03574631573
2006-02-05 08:00:00;-211106.8555078099
2006-02-05 09:00:00;498931.7967924953
2006-02-05 10:00:00;957947.80719406158
2006-02-05 11:00:00;1232973.7463639143
2006-02-05 12:00:00;1317911.1868110881
2006-02-05 13:00:00;1249546.0243347264
2006-02-05 14:00:00;1352923.3266018277
2006-02-05 15:00:00;5856442.1155411154
2006-02-05 16:00:00;5289401.8165846402
2006-02-05 17:00:00;4586794.3074035477
2006-02-05 18:00:00;4209210.8992154757
2006-02-05 19:00:00;4232966.3516477179
2006-02-05 20:00:00;3377663.4174650395
2006-02-05 21:00:00;2188474.4155773791
2006-02-05 22:00:00;2308346.8569378662
2006-02-05 23:00:00;2313169.0128492936
2006-02-06 00:00:00;3009915.2382046129
2006-02-06 01:00:00;3000294.4186718329
2006-02-06 02:00:00;2960110.5960354777
2006-02-06 03:00:00;4657974.8078754758
2006-02-06 04:00:00;4541070.2176424451
2006-02-06 05:00:00;4518479.7034757407
2006-02-06 06:00:00;2725441.559220857
2006-02-06 07:00:00;2676256.0398485018
2006-02-06 08:00:00;3091075.1537764999
2006-02-06 09:00:00;5594470.7463377062
2006-02-06 10:00:00;6062962.3507711468
2006-02-06 11:00:00;6321217.8285889998
2006-02-06 12:00:00;4584075.8550132113
2006-02-06 13:00:00;4674700.9199227132
2006-02-06 14:00:00;4492801.1101230243
2006-02-06 15:00:00;4135239.5818205504
2006-02-06 16:00:00;3623414.7548838612
2006-02-06 17:00:00;2695720.3312469632
2006-02-06 18:00:00;2436009.9175208975
2006-02-06 19:00:00;2369835.733629995
2006-02-06 20:00:00;2220709.7683068886
2006-02-06 21:00:00;3889944.8767310488
2006-02-06 22:00:00;3975351.6135580372
2006-02-06 23:00:00;-1050705.9242112422
2006-02-07 00:00:00;-195046.21581257996
2006-02-07 01:00:00;-203323.97064693493
2006-02-07 02:00:00;-263513.88202004519
2006-02-07 03:00:00;-317594.61106600345
2006-02-07 04:00:00;-372445.78529159899
2006-02-07 05:00:00;-453146.79648213193
2006-02-07 06:00:00;2779053.5093926494
2006-02-07 07:00:00;2726175.3795067342
2006-02-07 08:00:00;3213656.0962677649
2006-02-07 09:00:00;3917547.4669580921
2006-02-07 10:00:00;4234431.407069494
2006-02-07 11:00:00;4593494.2250176724
2006-02-07 12:00:00;6458923.5086933626
2006-02-07 13:00:00;6453524.7502807267
2006-02-07 14:00:00;6378651.8697409043
2006-02-07 15:00:00;895385.16307285137
2006-02-07 16:00:00;315833.26108830923
2006-02-07 17:00:00;-546393.17608076439
2006-02-07 18:00:00;-816367.56222409382
2006-02-07 19:00:00;-818901.07189224311
2006-02-07 20:00:00;-1058957.4449768008
2006-02-07 21:00:00;-935308.9413127359
2006-02-07 22:00:00;-1091390.3163392937
2006-02-07 23:00:00;-714395.1434480818
2006-02-08 00:00:00;-160242.74232877939
2006-02-08 01:00:00;-180828.90324401282
2006-02-08 02:00:00;-197273.77816630219
2006-02-08 03:00:00;-301983.38616583525
2006-02-08 04:00:00;-384088.32444590394
2006-02-08 05:00:00;-405824.28303655272
2006-02-08 06:00:00;-447197.40770287812
2006-02-08 07:00:00;-465418.71227925975
2006-02-08 08:00:00;85447.92329447018
2006-02-08 09:00:00;768667.2887529966
2006-02-08 10:00:00;1129632.7136104261
2006-02-08 11:00:00;1379340.556379179
2006-02-08 12:00:00;1523631.0188192411
2006-02-08 13:00:00;1643379.2136019189
2006-02-08 14:00:00;1365870.1986700622
2006-02-08 15:00:00;1042564.5493642051
2006-02-08 16:00:00;469531.27546616911
2006-02-08 17:00:00;-480887.15199480171
2006-02-08 18:00:00;-697683.75193803664
2006-02-08 19:00:00;-969413.75991854444
2006-02-08 20:00:00;-956386.94883455534
2006-02-08 21:00:00;-1004193.4915263182
2006-02-08 22:00:00;-1080336.6435875893
2006-02-08 23:00:00;-828367.20731770655
2006-02-09 00:00:00;-148310.12284861921
2006-02-09 01:00:00;-166800.3717936537
2006-02-09 02:00:00;-215739.3600720134
2006-02-09 03:00:00;-251897.23674551237
2006-02-09 04:00:00;-321390.86391289043
2006-02-09 05:00:00;-373780.79588026879
2006-02-09 06:00:00;-468489.52983816556
2006-02-09 07:00:00;-464456.452559422
2006-02-09 08:00:00;44308.33361321839
2006-02-09 09:00:00;795058.48258948838
2006-02-09 10:00:00;1213300.9612528041
2006-02-09 11:00:00;1382230.6192022571
2006-02-09 12:00:00;1537731.8775330009
2006-02-09 13:00:00;1549726.1218660621
2006-02-09 14:00:00;1398041.4788643094
2006-02-09 15:00:00;1096349.3593173716
2006-02-09 16:00:00;545050.07184736128
2006-02-09 17:00:00;-209084.64516790042
2006-02-09 18:00:00;4152159.0442194231
2006-02-09 19:00:00;4229488.8442151127
2006-02-09 20:00:00;4063325.4012924498
2006-02-09 21:00:00;-957896.50961804495
2006-02-09 22:00:00;-1018243.7111093618
2006-02-09 23:00:00;-866085.92391270725
2006-02-10 00:00:00;-204990.06537938013
2006-02-10 01:00:00;-209041.77817379188
2006-02-10 02:00:00;-261530.34132483462
2006-02-10 03:00:00;-318934.23294416664
2006-02-10 04:00:00;-377982.26606285205
2006-02-10 05:00:00;-455744.40726830886
2006-02-10 06:00:00;-497527.08245303802
2006-02-10 07:00:00;-585491.95735917415
2006-02-10 08:00:00;64728.239748263266
2006-02-10 09:00:00;694081.43104306061
2006-02-10 10:00:00;1093268.687318316
2006-02-10 11:00:00;1275974.3816448841
2006-02-10 12:00:00;1448992.2339899342
2006-02-10 13:00:00;1509490.8804359618
2006-02-10 14:00:00;1416898.4265529502
2006-02-10 15:00:00;1070492.7927434924
2006-02-10 16:00:00;461241.77968753711
2006-02-10 17:00:00;-533801.89650139643
2006-02-10 18:00:00;-732053.5668539328
2006-02-10 19:00:00;-962579.27785911469
2006-02-10 20:00:00;-1061182.809246972
2006-02-10 21:00:00;-1048069.4999577849
2006-02-10 22:00:00;-1015406.7290371165
2006-02-10 23:00:00;-836021.25954181678
2006-02-11 00:00:00;-198029.37068262004
2006-02-11 01:00:00;-208079.98706312658
2006-02-11 02:00:00;-262677.8207005689
2006-02-11 03:00:00;2898165.0157408589
2006-02-11 04:00:00;2800219.2720328746
2006-02-11 05:00:00;2773008.3528098627
2006-02-11 06:00:00;2750868.509305561
2006-02-11 07:00:00;2712906.7652281942
2006-02-11 08:00:00;3331800.0812744284
2006-02-11 09:00:00;3868748.387548604
2006-02-11 10:00:00;4274189.5576930344
2006-02-11 11:00:00;4523855.9320987929
2006-02-11 12:00:00;1514232.2126760709
2006-02-11 13:00:00;1385429.784252008
2006-02-11 14:00:00;1134708.8789237728
2006-02-11 15:00:00;1119012.5740324843
2006-02-11 16:00:00;434555.40109752328
2006-02-11 17:00:00;-354746.48192021757
2006-02-11 18:00:00;-704139.77032471064
2006-02-11 19:00:00;-798302.76562154363
2006-02-11 20:00:00;-1004977.2465594765
2006-02-11 21:00:00;-1094628.695329468
2006-02-11 22:00:00;-1235611.0332879839
2006-02-11 23:00:00;-784860.43479179603
2006-02-12 00:00:00;3023836.6275981329
2006-02-12 01:00:00;3017595.3369102813
2006-02-12 02:00:00;2986990.7043812796
2006-02-12 03:00:00;2928920.2350136428
2006-02-12 04:00:00;2799843.5581056718
2006-02-12 05:00:00;2800842.1577574718
2006-02-12 06:00:00;2722687.6367265712
2006-02-12 07:00:00;2702770.7263119863
2006-02-12 08:00:00;3323307.4496251224
2006-02-12 09:00:00;5735062.726383769
2006-02-12 10:00:00;6074372.8209173344
2006-02-12 11:00:00;6335579.6472076913
2006-02-12 12:00:00;6509614.4491682043
2006-02-12 13:00:00;6429147.0462561827
2006-02-12 14:00:00;5768876.2366715325
2006-02-12 15:00:00;4276021.9151983811
2006-02-12 16:00:00;3762179.9938877067
2006-02-12 17:00:00;2854211.8951886832
2006-02-12 18:00:00;2473809.2459425405
2006-02-12 19:00:00;2366692.3079437055
2006-02-12 20:00:00;2291406.1235847943
2006-02-12 21:00:00;2134254.1399542615
2006-02-12 22:00:00;2177418.6857337998
2006-02-12 23:00:00;2482485.7588883247
2006-02-13 00:00:00;4799981.85940402
2006-02-13 01:00:00;4780882.5313078295
2006-02-13 02:00:00;4727155.6083441228
2006-02-13 03:00:00;2849319.7231580708
2006-02-13 04:00:00;2816705.1287117004
2006-02-13 05:00:00;2755418.4759772727
2006-02-13 06:00:00;2704206.1826016661
2006-02-13 07:00:00;2736038.4785644161
2006-02-13 08:00:00;3349111.4900024296
2006-02-13 09:00:00;688681.110576601
2006-02-13 10:00:00;1142256.2864932977
2006-02-13 11:00:00;1338429.6552967469
2006-02-13 12:00:00;1638111.2650623452
2006-02-13 13:00:00;1501016.8418917926
2006-02-13 14:00:00;1287654.3960480909
2006-02-13 15:00:00;1173435.1852881033
2006-02-13 16:00:00;554359.82960462233
2006-02-13 17:00:00;-179018.70274325478
2006-02-13 18:00:00;-788192.20968129137
2006-02-13 19:00:00;4360892.4763070587
2006-02-13 20:00:00;3950984.4550616825
2006-02-13 21:00:00;2152802.4765359089
2006-02-13 22:00:00;2200424.8054817263
2006-02-13 23:00:00;2298416.3183856211
2006-02-14 00:00:00;4275552.7462962186
2006-02-14 01:00:00;4796983.1645149523
2006-02-14 02:00:00;4774643.943589408
2006-02-14 03:00:00;4658869.3620669944
2006-02-14 04:00:00;4600899.9175499585
2006-02-14 05:00:00;4556532.2651218995
2006-02-14 06:00:00;2730605.1803253614
2006-02-14 07:00:00;2776263.4185543708
2006-02-14 08:00:00;3332185.0965250432
2006-02-14 09:00:00;4030912.8871788126
2006-02-14 10:00:00;4545646.5592702683
2006-02-14 11:00:00;4652092.8854590999
2006-02-14 12:00:00;6671189.7783575496
2006-02-14 13:00:00;6666028.1626291974
2006-02-14 14:00:00;6595492.7581845121
2006-02-14 15:00:00;1258041.0781813578
2006-02-14 16:00:00;530130.8347103917
2006-02-14 17:00:00;-329915.51306720561
2006-02-14 18:00:00;4391499.9575744886
2006-02-14 19:00:00;4008966.0571450908
2006-02-14 20:00:00;4070265.4064947353
2006-02-14 21:00:00;2121915.3384219813
2006-02-14 22:00:00;2279215.5459886496
2006-02-14 23:00:00;2357953.2918324256
2006-02-15 00:00:00;-158253.97241541938
2006-02-15 01:00:00;-172608.60407994207
2006-02-15 02:00:00;-218636.37630401895
2006-02-15 03:00:00;2962741.0421497873
2006-02-15 04:00:00;2899136.8587737186
2006-02-15 05:00:00;2829358.6038101097
2006-02-15 06:00:00;-470127.79221842997
2006-02-15 07:00:00;-463223.24208152766
2006-02-15 08:00:00;292635.74499434361
2006-02-15 09:00:00;974133.43538273359
2006-02-15 10:00:00;1323597.1038974272
2006-02-15 11:00:00;1488015.529819539
2006-02-15 12:00:00;1672176.2582599237
2006-02-15 13:00:00;1573349.9576250287
2006-02-15 14:00:00;1565125.8025224765
2006-02-15 15:00:00;1267885.7395247896
2006-02-15 16:00:00;567135.39891197172
2006-02-15 17:00:00;-259305.50487621251
2006-02-15 18:00:00;-716794.62589769799
2006-02-15 19:00:00;-708420.02014230331
2006-02-15 20:00:00;-900346.81803654437
2006-02-15 21:00:00;-1095232.080637869
2006-02-15 22:00:00;-948926.05850015709
2006-02-15 23:00:00;-821083.67682455794
2006-02-16 00:00:00;-84669.485621098254
2006-02-16 01:00:00;-109211.6149584754
2006-02-16 02:00:00;-146572.67679963267
2006-02-16 03:00:00;-194115.69111619861
2006-02-16 04:00:00;-275669.74980119185
2006-02-16 05:00:00;-330943.52227142564
2006-02-16 06:00:00;-393762.67256431159
2006-02-16 07:00:00;-336532.39116904885
2006-02-16 08:00:00;290294.16295406665
2006-02-16 09:00:00;922159.59569220082
2006-02-16 10:00:00;1333539.6184570584
2006-02-16 11:00:00;1496503.0453458019
2006-02-16 12:00:00;1522845.1568241366
2006-02-16 13:00:00;1608046.1079580779
2006-02-16 14:00:00;1458021.3253429658
2006-02-16 15:00:00;1214449.7754162555
2006-02-16 16:00:00;712062.00560510554
2006-02-16 17:00:00;-123484.90037107019
2006-02-16 18:00:00;-728116.75816078437
2006-02-16 19:00:00;-706121.14366578648
2006-02-16 20:00:00;-1054319.3535506623
2006-02-16 21:00:00;-1191637.0367714192
2006-02-16 22:00:00;-962161.8174905756
2006-02-16 23:00:00;-870208.74393967446
2006-02-17 00:00:00;-134388.73345509902
2006-02-17 01:00:00;-144094.12146478472
2006-02-17 02:00:00;-175012.85074797671
2006-02-17 03:00:00;-233659.49745226733
2006-02-17 04:00:00;-321798.13487936021
2006-02-17 05:00:00;-375017.83688260167
2006-02-17 06:00:00;-408485.21573928528
2006-02-17 07:00:00;-403967.05130947253
2006-02-17 08:00:00;186945.610428549
2006-02-17 09:00:00;805550.29545531038
2006-02-17 10:00:00;1257716.3102565657
2006-02-17 11:00:00;1420972.3345343049
2006-02-17 12:00:00;1572896.9872704209
2006-02-17 13:00:00;1600664.8113089711
2006-02-17 14:00:00;1597937.8635384215
2006-02-17 15:00:00;1165929.6694367668
2006-02-17 16:00:00;626165.72718660999
2006-02-17 17:00:00;-213471.88681512926
2006-02-17 18:00:00;-730523.62931294355
2006-02-17 19:00:00;-836365.59425995208
2006-02-17 20:00:00;-930008.68754218181
2006-02-17 21:00:00;-1018799.3101952535
2006-02-17 22:00:00;-1052315.0813051958
2006-02-17 23:00:00;-847028.65734978253
2006-02-18 00:00:00;-132399.96354173901
2006-02-18 01:00:00;-137492.91287343728
2006-02-18 02:00:00;-158090.60975253212
2006-02-18 03:00:00;4716964.5312934173
2006-02-18 04:00:00;4677597.1859284909
2006-02-18 05:00:00;4624807.1513054045
2006-02-18 06:00:00;4541654.5013538869
2006-02-18 07:00:00;4595680.3568346109
2006-02-18 08:00:00;5223236.4007439138
2006-02-18 09:00:00;819018.81720240752
2006-02-18 10:00:00;1180319.7151458983
2006-02-18 11:00:00;1433512.1528667586
2006-02-18 12:00:00;1591693.7498745283
2006-02-18 13:00:00;1672575.3535603113
2006-02-18 14:00:00;1544710.0476458888
2006-02-18 15:00:00;1135986.9506488801
2006-02-18 16:00:00;610656.14348964475
2006-02-18 17:00:00;-96504.253254580311
2006-02-18 18:00:00;-624398.05424342048
2006-02-18 19:00:00;-751985.05189293658
2006-02-18 20:00:00;-946622.46830613958
2006-02-18 21:00:00;-1153472.8321637355
2006-02-18 22:00:00;-922090.89358452999
2006-02-18 23:00:00;-731138.16234986647
2006-02-19 00:00:00;-102568.41484133848
2006-02-19 01:00:00;-122609.23750390152
2006-02-19 02:00:00;-149445.17247312114
2006-02-19 03:00:00;4744248.1586241247
2006-02-19 04:00:00;4706446.3443604279
2006-02-19 05:00:00;4637437.6843077978
2006-02-19 06:00:00;2732925.8391906335
2006-02-19 07:00:00;2889192.9706895165
2006-02-19 08:00:00;3578115.5119622899
2006-02-19 09:00:00;4202779.3025056813
2006-02-19 10:00:00;4546390.0163370203
2006-02-19 11:00:00;4716297.3198192073
2006-02-19 12:00:00;1547971.2526722597
2006-02-19 13:00:00;1638289.5829278131
2006-02-19 14:00:00;1452811.3370759618
